CashReserveRatio,CashDepositRatio,ReverseRepoRate,MarginalFacilityRate,BankRate,TermDepositRate,SavingsDepositRate,CallMoneyRate,TreasuryBill,Inflation,RepoRate,BaseRate
4,4.63,5.75,6.25,6.25,6,3.5,5.96,6.48,3.94,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.88,6.5,3.94,6,8.95
4,4.54,5.75,6.25,6.25,6,3.5,5.9,6.5,3.94,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.9,6.46,3.94,6,8.95
4,4.7,5.75,6.25,6.25,6,3.5,5.9,6.44,3.94,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.88,6.39,3.94,6,8.95
4,4.65,5.75,6.25,6.25,6,3.5,5.87,6.35,3.94,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.99,6.33,3.33,6,8.95
4,4.77,5.75,6.25,6.25,6,3.5,5.98,6.33,3.33,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.86,6.31,3.33,6,8.95
4,4.61,5.75,6.25,6.25,6,3.5,5.83,6.27,3.33,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.87,6.25,3.33,6,8.95
4,4.66,5.75,6.25,6.25,6,3.5,5.89,6.2,3.33,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.86,6.18,3.33,6,8.95
4,4.67,5.75,6.25,6.25,6,3.5,5.88,6.18,3.33,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.86,6.18,3.33,6,8.95
4,4.75,5.75,6.25,6.25,6.25,3.5,5.85,6.18,3.33,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.98,6.18,3.33,6,8.95
4,4.69,5.75,6.25,6.25,6.25,3.5,5.86,6.18,3.33,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.84,6.18,3.33,6,8.95
4,4.89,5.75,6.25,6.25,6.25,3.5,5.88,0,3.33,6,9
4,0,5.75,6.25,6.25,6.25,3.5,5.91,6.22,3.33,6,9
4,4.97,5.75,6.25,6.25,6.25,3.5,5.89,0,3.33,6,9
4,0,5.75,6.25,6.25,6.25,3.5,5.84,6.2,3.33,6,9
4,4.7,5.75,6.25,6.25,6.25,3.5,5.84,0,3.33,6,9
4,0,5.75,6.25,6.25,6.25,3.5,5.93,6.22,3.33,6,9
4,4.8,5.75,6.25,6.25,6.25,3.5,5.85,0,3.33,6,9
4,0,5.75,6.25,6.25,6.25,3.5,5.88,6.22,3.33,6,9
4,4.7,5.75,6.25,6.25,6.25,3.5,5.97,0,3.33,6,9
4,0,6,6.5,6.5,6.25,4,6.08,6.25,3.33,6.25,9
4,4.73,6,6.5,6.5,6.25,4,6.07,0,3.33,6.25,9
4,0,6,6.5,6.5,6.25,4,6.06,6.33,3.33,6.25,9
4,4.65,6,6.5,6.5,6.25,4,6.05,0,3.33,6.25,9
4,0,6,6.5,6.5,6.25,4,6.07,6.33,3.33,6.25,9.1
4,4.72,6,6.5,6.5,6.25,4,6.08,0,3.33,6.25,9.1
4,0,6,6.5,6.5,6.25,4,6.07,6.33,3.33,6.25,9.1
4,4.77,6,6.5,6.5,6.25,4,6.11,0,3.33,6.25,9.1
4,0,6,6.5,6.5,6.25,4,6.05,6.39,3.33,6.25,9.1
4,4.72,6,6.5,6.5,6.25,4,6.04,0,3.33,6.25,9.1
4,0,6,6.5,6.5,6.25,4,6.05,6.44,3.33,6.25,9.1
4,4.63,6,6.5,6.5,6.25,4,6.07,0,3.33,6.25,9.1
4,0,6,6.5,6.5,6.5,4,5.99,6.39,3.33,6.25,9.1
4,4.88,6,6.5,6.5,6.5,4,6,0,3.33,6.25,9.1
4,0,6,6.5,6.5,6.5,4,5.94,6.31,3.33,6.25,9.1
4,4.54,6,6.5,6.5,6.5,4,5.94,0,3.33,6.25,9.1
4,0,6,6.5,6.5,6.5,4,5.84,6.18,3.33,6.25,9.1
4,5.28,5.75,6.75,6.75,6.5,4,5.97,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,5.95,6.05,3.33,6.25,9.25
4,4.58,5.75,6.75,6.75,6.5,4,5.99,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,5.97,6.14,3.33,6.25,9.25
4,4.64,5.75,6.75,6.75,6.5,4,5.96,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,5.95,6.27,3.33,6.25,9.25
4,4.63,5.75,6.75,6.75,6.5,4,6.03,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,6.05,6.22,3.33,6.25,9.25
4,4.7,5.75,6.75,6.75,6.5,4,6,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,5.98,6.22,3.33,6.25,9.25
4,4.72,5.75,6.75,6.75,6.5,4,5.98,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,6.09,6.29,3.33,6.25,9.25
4,4.77,5.75,6.75,6.75,6.5,4,6.07,0,3.33,6.25,9.25
4,0,5.75,6.75,6.75,6.5,4,6.12,6.35,4.95,6.25,9.3
4,5.44,5.75,6.75,6.75,6.5,4,6.1,0,4.95,6.25,9.3
4,0,5.75,6.75,6.75,6.5,4,6.09,6.29,4.95,6.25,9.3
4,9.03,5.75,6.75,6.75,6.5,4,6.15,0,4.95,6.25,9.3
4,0,5.75,6.75,6.75,6.5,4,6.28,6.07,4.95,6.25,9.3
4,6.34,5.75,6.75,6.75,6.5,4,5.94,0,4.95,6.25,9.3
4,0,5.75,6.75,6.75,6.5,4,6,5.97,4.95,6.25,9.3
4,6.53,5.75,6.75,6.75,6.5,4,6.21,0,4.95,6.25,9.3
4,0,5.75,6.75,6.75,6.5,4,6.14,6.46,4.95,6.25,9.3
4,4.85,5.75,6.75,6.75,6.5,4,6.18,0,4.95,6.25,9.3
4,0,5.75,6.75,6.75,7,4,6.23,6.46,4.95,6.25,9.3
4,4.71,5.75,6.75,6.75,7,4,6.21,0,4.95,6.25,9.3
4,0,5.75,6.75,6.75,7,4,6.23,6.44,4.95,6.25,9.3
4,4.65,6,7,7,7,4,6.43,0,4.95,6.5,9.3
